NAME                       REF_APP    IMPLEMENTED   MISSING                          
pthread_attr_init                    1             1pthread_sigmask                  
pthread_attr_destroy                 1             1pthread_testcancel               
pthread_attr_getdetachstate                         pthread_threadid_np              
pthread_attr_setdetachstate          1              pthread_unregister_cancel        
pthread_attr_setguardsize                                                            
pthread_attr_getguardsize                           pthread_yield                    
pthread_attr_setinheritsche                                                          
pthread_attr_getinheritsche                                                          
pthread_attr_setschedparam                          pthread_condattr_setclock        
pthread_attr_getschedparam                          pthread_default_stacksize_np     
pthread_attr_setschedpolicy                         pthread_register_cancel          
pthread_attr_getschedpolicy                                                          
pthread_attr_setscope                                                                
pthread_attr_getscope                                                                
pthread_attr_setstackaddr                                                            
pthread_attr_setstack                               pthread_jit_write_protect_np     
pthread_attr_getstackaddr                           pthread_setname_np               
pthread_attr_getstack                               pthread_key_create               
pthread_attr_setstacksize            1              pthread_key_delete               
pthread_attr_getstacksize                           pthread_kill                     
pthread_cancel                                      pthread_main_np                  
pthread_cleanup_push                 1              pthread_mach_thread_np           MacOS      
pthread_cleanup_pop                  1              pthread_mutex_clocklock          Unknown    
pthread_cond_init                    1                                               
pthread_cond_destroy                 1                                               
pthread_cond_broadcast               1                                               
pthread_cond_signal                  1                                               
pthread_cond_timedwait               1                                               
pthread_cond_wait                    1                                               
pthread_condattr_init                1                                               
pthread_condattr_destroy             1                                               
pthread_condattr_setpshared                                                          
pthread_condattr_getpshared                                                          
pthread_create                       1                                               
pthread_join                         1                                               
pthread_detach                       1                                               
pthread_equal                        1                                               
pthread_setconcurrency               1                                               
pthread_getconcurrency               1                                               
pthread_setschedparam                                                                
pthread_getschedparam                                                                
pthread_setspecific                  1                                               
pthread_getspecific                  1                                               
pthread_key_create                                                                   
pthread_key_delete                                                                   
pthread_setcanceltype                                                                
pthread_setcancelstate               1                                               
pthread_self                         1                                               
pthread_exit                         1                                               
pthread_mutex_init                   1                                               
pthread_mutex_destroy                1                                               
pthread_mutex_setprioceilin                                                          
pthread_mutex_getprioceilin                                                          
pthread_mutex_lock                   1                                               
pthread_mutex_trylock                1                                               
pthread_mutex_unlock                 1                                               
pthread_mutexattr_init               1                                               
pthread_mutexattr_destroy            1                                               
pthread_mutexattr_getprioce                                                          
pthread_mutexattr_getprotoc                                                          
pthread_mutexattr_getpshare                                                          
pthread_mutexattr_gettype                                                            
pthread_mutexattr_setprioce                                                          
pthread_mutexattr_setprotoc                                                          
pthread_mutexattr_setpshare                                                          
pthread_mutexattr_settype            1                                               
pthread_once                         1                                               
pthread_rwlock_init                  1                                               
pthread_rwlock_destroy               1                                               
pthread_rwlock_rdlock                1                                               
pthread_rwlock_tryrdlock             1                                               
pthread_rwlock_trywrlock                                                             
pthread_rwlock_unlock                1                                               
pthread_rwlock_wrlock                1                                               
pthread_rwlockattr_init                                                              
pthread_rwlockattr_destroy                                                           
pthread_rwlockattr_setpshar                                                          
pthread_rwlockattr_getpshar                                                          
